work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_category
2023,se,FT,ai engineer,223000,USD,223000.0,US,0,US,m,Elite
2023,se,FT,data scientist,222800,USD,222800.0,US,0,US,m,Elite
2023,se,FT,data scientist,222750,USD,222750.0,US,0,US,m,Elite
2022,ex,FT,data science manager,222640,USD,222640.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,222405,USD,222405.0,US,0,US,m,Elite
2024,se,FT,data scientist,222300,USD,222300.0,US,0,US,m,Elite
2024,mi,FT,applied scientist,222200,USD,222200.0,US,0,US,l,Elite
2023,mi,FT,applied scientist,222200,USD,222200.0,US,0,US,l,Elite
2023,se,FT,applied scientist,222200,USD,222200.0,US,0,US,l,Elite
2024,se,FT,data architect,222000,USD,222000.0,US,100,US,m,Elite
2023,se,FT,data architect,222000,USD,222000.0,US,100,US,m,Elite
2023,se,FT,data architect,222000,USD,222000.0,US,0,US,m,Elite
2023,se,FT,data engineer,222000,USD,222000.0,US,0,US,m,Elite
2023,ex,FT,data lead,222000,USD,222000.0,US,0,US,m,Elite
2023,se,FT,machine learning scientist,222000,USD,222000.0,US,0,US,m,Elite
2023,se,FT,data scientist,222000,USD,222000.0,US,0,US,m,Elite
2023,se,FT,data scientist,222000,USD,222000.0,US,100,US,m,Elite
2023,se,FT,machine learning scientist,222000,USD,222000.0,US,100,US,m,Elite
2023,se,FT,data engineer,222000,USD,222000.0,US,100,US,m,Elite
2023,se,FT,data architect,221800,USD,221800.0,US,100,US,m,Elite
2024,se,FT,data engineer,221630,USD,221630.0,US,0,US,m,Elite
2024,mi,FT,analytics engineer,221500,USD,221500.0,US,0,US,m,Elite
2023,se,FT,data engineer,221484,USD,221484.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,221300,USD,221300.0,US,100,US,m,Elite
2023,se,FT,analytics engineer,221300,USD,221300.0,US,0,US,m,Elite
2022,se,FT,data specialist,221300,USD,221300.0,US,100,US,l,Elite
2024,se,FT,machine learning engineer,221000,USD,221000.0,US,0,US,m,Elite
2024,se,FT,data engineer,221000,USD,221000.0,US,0,US,m,Elite
2024,ex,FT,data science,221000,USD,221000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,221000,USD,221000.0,US,0,US,m,Elite
2023,se,FT,machine learning infrastructure engineer,221000,USD,221000.0,US,0,US,m,Elite
2023,ex,FT,analytics engineer,221000,USD,221000.0,US,100,US,m,Elite
2023,se,FT,data engineer,221000,USD,221000.0,US,0,US,m,Elite
2024,se,FT,data scientist,220800,USD,220800.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,220600,USD,220600.0,US,0,US,m,Elite
2022,se,FT,data engineer,220110,USD,220110.0,US,0,US,m,Elite
2022,se,FT,data engineer,220110,USD,220110.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,220067,USD,220067.0,US,100,US,m,Elite
2024,se,FT,machine learning scientist,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,data scientist,220000,USD,220000.0,US,0,US,m,Elite
2024,mi,FT,data science,220000,USD,220000.0,US,0,US,m,Elite
2024,ex,FT,data science,220000,USD,220000.0,US,100,US,m,Elite
2024,se,FT,data engineer,220000,USD,220000.0,CA,0,CA,m,Elite
2024,se,FT,data engineer,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,data scientist,220000,USD,220000.0,US,100,US,m,Elite
2024,ex,FT,data engineer,220000,USD,220000.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,220000,USD,220000.0,CA,0,CA,m,Elite
2024,se,FT,machine learning engineer,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,data product manager,220000,USD,220000.0,GB,0,GB,m,Elite
2024,mi,FT,data scientist,220000,USD,220000.0,US,0,US,m,Elite
2024,mi,FT,machine learning engineer,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,computer vision engineer,220000,USD,220000.0,US,100,US,m,Elite
2024,mi,FT,analytics engineer,220000,USD,220000.0,US,0,US,m,Elite
2024,mi,FT,data engineer,220000,USD,220000.0,US,100,US,m,Elite
2024,mi,FT,data engineer,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,data architect,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,data science,220000,USD,220000.0,US,100,US,m,Elite
2024,se,FT,ml engineer,220000,USD,220000.0,US,0,US,m,Elite
2024,se,FT,data analyst,220000,USD,220000.0,US,100,US,m,Elite
2023,mi,FT,data scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,mi,FT,data engineer,220000,USD,220000.0,CA,100,CA,m,Elite
2023,se,FT,data product manager,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,data scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,data scientist,220000,USD,220000.0,US,100,US,m,Elite
2023,mi,FT,research scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,ai engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,mi,FT,machine learning engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,mi,FT,research engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,en,FT,ml engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,ex,FT,data scientist,220000,USD,220000.0,US,100,US,m,Elite
2023,ex,FT,research scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,data science engineer,220000,USD,220000.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,220000,USD,220000.0,UA,100,UA,m,Elite
2023,en,FT,data engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,applied scientist,220000,USD,220000.0,US,100,US,m,Elite
2023,se,FT,machine learning infrastructure engineer,220000,USD,220000.0,US,100,US,m,Elite
2023,se,FT,data engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,research scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,business intelligence engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,machine learning scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,applied scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,ex,FT,data engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,mi,FT,research scientist,220000,USD,220000.0,US,100,US,m,Elite
2023,ex,FT,data scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,220000,USD,220000.0,US,100,US,m,Elite
2023,en,FT,research scientist,220000,USD,220000.0,US,50,US,l,Elite
2023,se,FT,data engineer,220000,USD,220000.0,US,100,US,m,Elite
2023,mi,FT,machine learning scientist,220000,USD,220000.0,US,0,US,m,Elite
2023,en,FT,computer vision engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,220000,USD,220000.0,US,0,US,m,Elite
2023,mi,FT,data science manager,220000,USD,220000.0,US,0,US,m,Elite
2022,se,FT,data scientist,220000,USD,220000.0,US,0,US,m,Elite
2022,se,FT,data engineer,220000,USD,220000.0,US,100,US,m,Elite
2022,se,FT,data engineer,220000,USD,220000.0,US,0,US,m,Elite
2022,se,FT,data scientist,220000,USD,220000.0,US,100,US,m,Elite
2022,se,FT,machine learning engineer,220000,USD,220000.0,US,100,US,m,Elite
2021,se,FT,principal data scientist,220000,USD,220000.0,US,0,US,l,Elite
2024,ex,FT,data engineer,219650,USD,219650.0,US,100,US,m,Elite
2023,ex,FT,data engineer,219650,USD,219650.0,US,100,US,m,Elite
2024,se,FT,data manager,219600,USD,219600.0,US,0,US,m,Elite
2023,se,FT,data engineer,219535,USD,219535.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,219300,USD,219300.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,219100,USD,219100.0,US,100,US,m,Elite
2023,se,FT,applied scientist,219100,USD,219100.0,US,0,US,m,Elite
2024,en,FT,research analyst,219000,USD,219000.0,US,0,US,m,Elite
2023,se,FT,ai scientist,219000,USD,219000.0,US,0,US,m,Elite
2023,se,FT,data scientist,219000,USD,219000.0,US,0,US,m,Elite
2023,se,FT,data scientist,219000,USD,219000.0,CA,0,CA,m,Elite
2023,mi,FT,machine learning engineer,219000,USD,219000.0,US,50,US,l,Elite
2023,se,FT,machine learning engineer,218755,USD,218755.0,US,0,US,m,Elite
2024,se,FT,data scientist,218750,USD,218750.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,218540,USD,218540.0,US,0,US,m,Elite
2024,se,FT,data scientist,218500,USD,218500.0,US,100,US,m,Elite
2024,se,FT,data engineer,218500,USD,218500.0,US,0,US,m,Elite
2023,se,FT,data scientist,218500,USD,218500.0,US,100,US,m,Elite
2024,mi,FT,research scientist,218213,USD,218213.0,US,0,US,m,Elite
2024,se,FT,applied scientist,218213,USD,218213.0,US,100,US,m,Elite
2023,se,FT,applied scientist,218213,USD,218213.0,US,100,US,m,Elite
2023,se,FT,data scientist,218213,USD,218213.0,US,100,US,m,Elite
2024,se,FT,data engineer,218185,USD,218185.0,US,100,US,m,Elite
2024,se,FT,data scientist,218000,USD,218000.0,US,0,US,m,Elite
2024,mi,FT,data scientist,218000,USD,218000.0,US,0,US,m,Elite
2023,se,FT,data scientist,218000,USD,218000.0,US,0,US,m,Elite
2023,ex,FT,data science,218000,USD,218000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,218000,USD,218000.0,US,100,US,m,Elite
2023,se,FT,data scientist,218000,USD,218000.0,US,100,US,m,Elite
2022,se,FT,data scientist,218000,USD,218000.0,US,0,US,m,Elite
2023,mi,FT,machine learning software engineer,217600,USD,217600.0,US,0,US,m,Elite
2024,se,FT,prompt engineer,217508,USD,217508.0,US,0,US,m,Elite
2024,se,FT,data engineer,217508,USD,217508.0,US,0,US,m,Elite
2023,mi,FT,director of data science,217000,USD,217000.0,US,0,US,m,Elite
2023,se,FT,data engineer,217000,USD,217000.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,216800,USD,216800.0,US,100,US,m,Elite
2023,se,FT,data scientist,216800,USD,216800.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,216700,USD,216700.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,216700,USD,216700.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,216700,USD,216700.0,CA,100,CA,m,Elite
2023,se,FT,machine learning engineer,216600,USD,216600.0,CA,0,CA,m,Elite
2023,se,FT,analytics engineer,216450,USD,216450.0,US,0,US,m,Elite
2022,se,FT,data analyst,216200,USD,216200.0,US,0,US,m,Elite
2022,mi,FT,data analyst,216200,USD,216200.0,US,0,US,m,Elite
2023,se,FT,data scientist,216100,USD,216100.0,US,0,US,m,Elite
2023,se,FT,data engineer,216027,USD,216027.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,216000,USD,216000.0,US,0,US,m,Elite
2024,se,FT,applied scientist,216000,USD,216000.0,US,0,US,m,Elite
2023,se,FT,applied scientist,216000,USD,216000.0,US,100,US,m,Elite
2023,se,FT,applied scientist,216000,USD,216000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,216000,USD,216000.0,US,100,US,m,Elite
2022,se,FT,data engineer,216000,USD,216000.0,US,100,US,m,Elite
2022,se,FT,machine learning scientist,216000,USD,216000.0,US,0,US,m,Elite
2022,ex,FT,data engineer,216000,USD,216000.0,US,100,US,m,Elite
2023,se,FT,data scientist,215625,USD,215625.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,215500,USD,215500.0,US,100,US,m,Elite
2024,mi,FT,data engineer,215500,USD,215500.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,215500,USD,215500.0,US,100,US,m,Elite
2022,se,FT,data scientist,215300,USD,215300.0,US,100,US,l,Elite
2022,se,FT,data scientist,215300,USD,215300.0,US,0,US,l,Elite
2023,se,FT,analytics engineer,215050,USD,215050.0,US,0,US,m,Elite
2023,se,FT,data scientist,215050,USD,215050.0,US,100,US,m,Elite
2024,se,FT,data scientist,215000,USD,215000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,215000,USD,215000.0,US,0,US,m,Elite
2024,se,FT,data engineer,215000,USD,215000.0,US,0,US,m,Elite
2024,se,FT,computational biologist,215000,CAD,165384.0,CA,0,CA,m,Very High
2024,mi,FT,data scientist,215000,USD,215000.0,US,0,US,m,Elite
2024,mi,FT,prompt engineer,215000,USD,215000.0,AU,100,AU,m,Elite
2024,se,FT,machine learning engineer,215000,USD,215000.0,CA,0,CA,m,Elite
2024,ex,FT,head of data,215000,USD,215000.0,US,100,US,m,Elite
2024,se,FT,data analytics lead,215000,USD,215000.0,US,0,US,m,Elite
2024,se,FT,machine learning scientist,215000,CAD,165384.0,CA,0,CA,m,Very High
2024,se,FT,machine learning engineer,215000,CAD,165384.0,CA,0,CA,m,Very High
2024,ex,FT,data engineer,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,data engineer,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,data scientist,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,215000,USD,215000.0,US,100,US,m,Elite
2023,se,FT,applied scientist,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,data architect,215000,USD,215000.0,US,100,US,m,Elite
2023,se,FT,data engineer,215000,USD,215000.0,US,100,US,m,Elite
2023,se,FT,computer vision engineer,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,research scientist,215000,USD,215000.0,US,0,US,m,Elite
2022,se,FT,data engineer,215000,USD,215000.0,US,100,US,m,Elite
2022,se,FT,data scientist,215000,USD,215000.0,US,0,US,l,Elite
2022,se,FT,data engineer,215000,USD,215000.0,US,0,US,m,Elite
2023,se,FT,data scientist,214872,USD,214872.0,US,100,US,m,Elite
2024,se,FT,data scientist,214500,USD,214500.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,214500,USD,214500.0,US,0,US,m,Elite
2023,se,FT,data engineer,214500,USD,214500.0,US,0,US,m,Elite
2023,se,FT,data scientist,214500,USD,214500.0,US,0,US,m,Elite
2024,se,FT,data engineer,214300,USD,214300.0,US,0,US,m,Elite
2024,mi,FT,data engineer,214300,USD,214300.0,US,0,US,m,Elite
2023,mi,FT,data engineer,214300,USD,214300.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,214200,USD,214200.0,US,0,US,m,Elite
2024,se,FT,research scientist,214000,USD,214000.0,US,100,US,m,Elite
2023,se,FT,applied scientist,214000,USD,214000.0,US,0,US,m,Elite
2023,se,FT,data scientist,214000,USD,214000.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,214000,USD,214000.0,GB,0,GB,m,Elite
2023,se,FT,analytics engineer,214000,USD,214000.0,US,0,US,m,Elite
2022,se,FT,machine learning engineer,214000,USD,214000.0,US,100,US,m,Elite
2023,mi,FT,machine learning engineer,213900,USD,213900.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,213800,USD,213800.0,US,0,US,m,Elite
2023,en,FT,applied scientist,213660,USD,213660.0,US,0,US,l,Elite
2023,se,FT,data scientist,213654,USD,213654.0,GB,0,GB,m,Elite
2023,se,FT,data architect,213600,USD,213600.0,US,0,US,m,Elite
2023,se,FT,data engineer,213600,USD,213600.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,213600,USD,213600.0,US,0,US,m,Elite
2023,se,FT,data engineer,213580,USD,213580.0,US,100,US,m,Elite
2023,se,FT,data scientist,213300,USD,213300.0,GB,0,GB,m,Elite
2023,se,FT,data analyst,213210,USD,213210.0,US,100,US,m,Elite
2023,se,FT,data architect,213120,USD,213120.0,US,100,US,m,Elite
2022,se,FT,data architect,213120,USD,213120.0,US,100,US,m,Elite
2022,se,FT,data engineer,213000,USD,213000.0,US,0,US,m,Elite
2024,mi,FT,research scientist,212800,USD,212800.0,US,0,US,l,Elite
2024,mi,FT,data scientist,212800,USD,212800.0,US,0,US,l,Elite
2024,se,FT,machine learning engineer,212800,USD,212800.0,US,100,US,m,Elite
2023,mi,FT,research scientist,212800,USD,212800.0,US,0,US,l,Elite
2023,se,FT,applied scientist,212800,USD,212800.0,US,0,US,l,Elite
2023,se,FT,research scientist,212800,USD,212800.0,US,0,US,l,Elite
2023,se,FT,data scientist,212800,USD,212800.0,US,0,US,l,Elite
2023,se,FT,machine learning engineer,212800,USD,212800.0,US,0,US,l,Elite
2023,se,FT,data scientist,212800,USD,212800.0,US,100,US,m,Elite
2023,se,FT,data scientist,212800,USD,212800.0,US,100,US,l,Elite
2023,se,FT,machine learning engineer,212800,USD,212800.0,US,0,US,m,Elite
2022,se,FT,applied scientist,212800,USD,212800.0,US,100,US,m,Elite
2024,se,FT,data scientist,212780,USD,212780.0,US,0,US,m,Elite
2023,se,FT,data scientist,212780,USD,212780.0,US,0,US,m,Elite
2023,se,FT,data scientist,212750,USD,212750.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,212500,USD,212500.0,US,0,US,m,Elite
2024,ex,FT,data engineer,212500,USD,212500.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,212500,USD,212500.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,212200,USD,212200.0,US,100,US,m,Elite
2023,se,FT,data engineer,212175,USD,212175.0,US,100,US,m,Elite
2024,se,PT,data architect,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,data engineer,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,ai engineer,212000,USD,212000.0,US,0,US,m,Elite
2024,mi,FT,data scientist,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,data scientist,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,research analyst,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,data architect,212000,USD,212000.0,AU,0,AU,m,Elite
2024,mi,FT,ai product manager,212000,USD,212000.0,US,0,US,m,Elite
2024,mi,FT,data scientist,212000,USD,212000.0,EG,0,EG,m,Elite
2024,se,FT,data scientist,212000,USD,212000.0,EG,0,EG,m,Elite
2024,se,FT,ml engineer,212000,USD,212000.0,US,0,US,m,Elite
2024,ex,FT,data science director,212000,USD,212000.0,US,0,US,m,Elite
2024,se,FT,ml engineer,212000,USD,212000.0,DE,0,DE,m,Elite
2024,se,FT,machine learning engineer,212000,USD,212000.0,EG,0,EG,m,Elite
2023,mi,FT,data scientist,212000,USD,212000.0,US,0,US,m,Elite
2023,mi,FT,machine learning engineer,212000,USD,212000.0,US,0,US,m,Elite
2023,se,FT,data scientist,212000,USD,212000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,212000,USD,212000.0,US,0,US,m,Elite
2023,se,FT,machine learning researcher,212000,USD,212000.0,US,0,US,m,Elite
2023,se,FT,ai engineer,212000,USD,212000.0,US,0,US,m,Elite
2023,ex,FT,data science director,212000,USD,212000.0,US,0,US,m,Elite
2023,se,FT,data engineer,212000,USD,212000.0,US,100,US,m,Elite
2023,se,FT,data analyst,212000,USD,212000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,211949,USD,211949.0,US,0,US,m,Elite
2024,se,FT,research scientist,211900,USD,211900.0,US,0,US,m,Elite
2022,se,FT,data scientist,211500,USD,211500.0,US,100,US,m,Elite
2023,se,FT,research engineer,211200,USD,211200.0,US,0,US,m,Elite
2023,se,FT,data scientist,211000,USD,211000.0,US,100,US,m,Elite
2023,se,FT,data scientist,211000,USD,211000.0,US,0,US,m,Elite
2023,se,FT,data science manager,211000,USD,211000.0,US,0,US,m,Elite
2023,ex,FT,data engineer,210914,USD,210914.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,210600,USD,210600.0,GB,100,GB,m,Elite
2023,ex,FT,data engineer,210600,USD,210600.0,US,100,US,m,Elite
2023,se,FT,data scientist,210550,USD,210550.0,US,0,US,m,Elite
2023,mi,FT,data engineer,210500,USD,210500.0,US,0,US,m,Elite
2023,mi,FT,data scientist,210400,USD,210400.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,210200,USD,210200.0,US,100,US,m,Elite
2024,mi,FT,data engineer,210100,USD,210100.0,US,0,US,m,Elite
2024,mi,FT,machine learning engineer,210100,USD,210100.0,US,0,US,m,Elite
2023,se,FT,data architect,210100,USD,210100.0,US,0,US,m,Elite
2024,se,FT,mlops engineer,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,data engineer,210000,USD,210000.0,US,100,US,m,Elite
2024,mi,FT,ai engineer,210000,USD,210000.0,GB,0,GB,m,Elite
2024,se,FT,data architect,210000,USD,210000.0,US,100,US,m,Elite
2024,se,FT,data science engineer,210000,USD,210000.0,US,100,US,m,Elite
2024,ex,FT,head of data,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,data scientist,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,ai engineer,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,210000,USD,210000.0,US,0,US,m,Elite
2024,mi,FT,data engineer,210000,USD,210000.0,US,0,US,m,Elite
2024,ex,FT,data architect,210000,USD,210000.0,US,100,US,m,Elite
2024,ex,FT,data engineer,210000,USD,210000.0,US,100,US,m,Elite
2024,se,FT,research scientist,210000,USD,210000.0,US,0,US,m,Elite
2024,mi,FT,machine learning researcher,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,applied scientist,210000,USD,210000.0,US,100,US,m,Elite
2024,mi,FT,research scientist,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,data science,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,research analyst,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,data engineer,210000,USD,210000.0,US,0,US,m,Elite
2024,se,FT,machine learning scientist,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,data scientist,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,data engineer,210000,USD,210000.0,CA,100,CA,m,Elite
2023,mi,FT,research scientist,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,research analyst,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,data analyst,210000,USD,210000.0,US,100,US,m,Elite
2023,ex,FT,data engineer,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,research scientist,210000,USD,210000.0,US,100,US,m,Elite
2023,ex,FT,analytics engineer,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,data engineer,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,data architect,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,data scientist,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,data engineer,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,data architect,210000,USD,210000.0,US,0,US,m,Elite
2023,mi,FT,machine learning researcher,210000,USD,210000.0,US,0,US,s,Elite
2023,se,FT,research engineer,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,research scientist,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,software data engineer,210000,USD,210000.0,US,100,US,l,Elite
2023,se,FT,machine learning engineer,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,business intelligence engineer,210000,USD,210000.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,nlp engineer,210000,USD,210000.0,US,100,US,m,Elite
2023,se,FT,computer vision engineer,210000,USD,210000.0,GB,0,GB,m,Elite
2023,se,FT,computer vision engineer,210000,USD,210000.0,US,0,US,m,Elite
2023,mi,FT,research scientist,210000,USD,210000.0,US,100,US,m,Elite
2023,ex,FT,data engineer,210000,USD,210000.0,US,0,US,m,Elite
2022,se,FT,machine learning engineer,210000,USD,210000.0,US,100,US,m,Elite
2022,se,FT,data scientist,210000,USD,210000.0,US,100,US,m,Elite
2022,se,FT,data engineer,210000,USD,210000.0,US,100,US,m,Elite
2022,se,FT,research scientist,210000,USD,210000.0,US,100,US,m,Elite
2022,se,FT,data architect,210000,USD,210000.0,US,100,US,m,Elite
2022,ex,FT,analytics engineer,210000,USD,210000.0,US,100,US,m,Elite
2022,se,FT,big data engineer,210000,CAD,161311.0,CA,50,CA,m,Very High
2024,se,FT,analytics engineer,209990,USD,209990.0,CA,0,CA,m,Elite
2024,se,FT,data engineer,209943,USD,209943.0,US,0,US,m,Elite
2024,ex,FT,machine learning engineer,209700,USD,209700.0,US,0,US,m,Elite
2024,ex,FT,data science,209700,USD,209700.0,US,0,US,m,Elite
2023,se,FT,data scientist,209450,USD,209450.0,US,100,US,m,Elite
2024,ex,FT,data engineer,209309,USD,209309.0,US,0,US,m,Elite
2024,se,FT,data engineer,209300,USD,209300.0,US,0,US,m,Elite
2023,mi,FT,data scientist,209300,USD,209300.0,US,100,US,m,Elite
2023,se,FT,data scientist,209300,USD,209300.0,US,100,US,m,Elite
2022,se,FT,data engineer,209100,USD,209100.0,US,100,US,l,Elite
2024,se,FT,applied scientist,209000,USD,209000.0,PL,100,PL,m,Elite
2024,mi,FT,data engineer,209000,USD,209000.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,209000,USD,209000.0,US,0,US,m,Elite
2023,se,FT,data engineer,209000,USD,209000.0,US,0,US,m,Elite
2022,se,FT,data architect,208775,USD,208775.0,US,100,US,m,Elite
2024,se,FT,data scientist,208500,USD,208500.0,US,0,US,m,Elite
2023,se,FT,data scientist,208500,USD,208500.0,US,0,US,m,Elite
2023,se,FT,analytics engineer,208500,USD,208500.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,208450,USD,208450.0,US,0,US,m,Elite
2023,se,FT,ml engineer,208450,USD,208450.0,US,0,US,m,Elite
2023,se,FT,data analyst,208450,USD,208450.0,US,100,US,m,Elite
2023,se,FT,data scientist,208400,USD,208400.0,US,100,US,m,Elite
2023,se,FT,data engineer,208200,USD,208200.0,US,100,US,m,Elite
2024,ex,FT,data engineer,208122,USD,208122.0,US,0,US,m,Elite
2023,se,FT,data analyst,208049,USD,208049.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,208000,USD,208000.0,US,100,US,m,Elite
2024,se,FT,ai architect,208000,USD,208000.0,US,0,US,m,Elite
2024,se,FT,data engineer,208000,USD,208000.0,US,0,US,m,Elite
2023,se,FT,data architect,208000,CAD,154101.0,CA,100,CA,m,Very High
2023,se,FT,machine learning engineer,208000,USD,208000.0,US,100,US,m,Elite
2023,se,FT,data scientist,208000,USD,208000.0,US,0,US,m,Elite
2023,se,FT,data engineer,208000,USD,208000.0,US,0,US,m,Elite
2023,se,FT,data engineer,208000,USD,208000.0,US,100,US,m,Elite
2022,se,FT,data scientist,208000,USD,208000.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,207900,USD,207900.0,US,0,US,m,Elite
2023,se,FT,data science,207900,USD,207900.0,US,0,US,m,Elite
2023,se,FT,data scientist,207900,USD,207900.0,US,0,US,m,Elite
2024,se,FT,data scientist,207760,USD,207760.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,207700,USD,207700.0,CA,0,CA,m,Elite
2023,se,FT,machine learning engineer,207611,USD,207611.0,US,0,US,m,Elite
2023,se,FT,data analyst,207611,USD,207611.0,US,100,US,m,Elite
2023,se,FT,analytics engineer,207611,USD,207611.0,US,100,US,m,Elite
2024,mi,FT,business intelligence,207600,USD,207600.0,US,0,US,m,Elite
2023,se,FT,data scientist,207500,USD,207500.0,US,100,US,m,Elite
2023,mi,FT,machine learning engineer,207500,USD,207500.0,AU,0,AU,m,Elite
2023,se,FT,data scientist,207345,USD,207345.0,US,100,US,m,Elite
2024,se,FT,data engineer,207300,USD,207300.0,US,0,US,m,Elite
2024,se,FT,data analyst,207300,USD,207300.0,US,0,US,m,Elite
